step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,modifieddsc04490114dsc044901,0.5,0.5,1,,Where is this vessel from and what civilization was it a part of?,"This is a ritual double bodied whistling jar from the Chimu Empire depicting the Goddess Deity. The Chimu were a prehistoric civilization which dominated the North Coast of Peru from 900CE to 1470CE until they were taken over by their rivals, the Inca Empire. Initially founded North of the Moche river valley, the Empire expanded through a series of stages to encompass the Peruvian coast from the present day city of Lima to Ecuador at its height.",,Learn more,blank_template-learn-more.md,Go deeper,blank_template-go-deeper.md,,,
2,modifieddsc04490114dsc044901,0.44822132869681613,0.5011876041462944,2.48832,,How was the Chimu Whistling Vessel constructed by the Chimu?,"The Chimú vessel was likely constructed through a hybrid manufacturing process that combined molded body sections with hand-built assembly and finishing techniques. Research on Chimu stirrup, spout ceramics, suggests that artisans often use molds to create symmetrical, standardized forms efficiently, while manually attaching and refining, connecting sections, and sculpting details. The vessel's dark surface also reflects the black wear firing tradition, which produced the characteristic black associated with ceramics.",,Learn more,blank_template-step2-layer1.md,,,,,
3,modifieddsc045118dsc0451,0.5859521380989905,0.4785376405787572,1.296,,What may have the Chimu Whistling Vessel sounded like?,"The sound is produced through the interaction of water pressure and air movement within the vessel, demonstrating the sophisticated engineering behind Chimu whistling vessels. Created by the ancient Chimu civilization of Peru, these objects represent a compelling fusion of sculpture, sound, and motion within a single ceremonial form. The shape and acoustic qualities of each vessel vary according to its construction and intended use. Some produce sound simply through the addition of water and rocking motion of the vessel, while others are designed to be blown into directly. Vessels molded after birds often imitate birdsong when activated with water. This Chimu whistle features a human figure ( Deity goddess) and likely produces a sound that resembles a human whistling according to scholars.",,Learn more,blank_template-sound-of-a.md,Go deeper,blank_template-how-does-this.md,,,
4,modifieddsc045320dsc0453,0.5831385538688827,0.47930611524189093,1.640403575342849,,What deity does the anthropomorphic head represent?,"The anthropomorphic head depicts the Chimu Goddess Deity. Associated with forces of the moon and sea, the goddess represented a powerful force of protection and sustenance for the Chimu people. Throughout Chimu iconography the goddess is only ever depicted in ceramic mediums such as black ware. In order to identify representations of the deity scholars often look for three key features: wide feline eyes, a large headdress, and placement of the goddess’ head atop a spout and bridge vessel. While further nautical motifs such as engravings of spondylus shells, sharks, fish, and stingrays are depicted alongside the Chimu Goddess, the presence of these motifs varies stylistically across vessels.",,Learn more,blank_template-step4-layer1.md,,,,,
5,modifieddsc04490114dsc044901,0.5335282638361754,0.5635282271064626,1.86624,,How was the Chimu Whistling Vessel used?,"The whistle was used in the Chimú civilization to promote religion and culture across the kingdom, which then lets everyone participate in rituals or ceremonies that worship the same deities that the Chimú’s believe in. As the Chimú empire expanded they wanted to have an imperial influence on the new lands they conquered, so with using vessels it allowed for cultural influence.",,Learn more,blank_template-step5-layer1.md,,,,,
6,modifieddsc04490114dsc044901,0.5,0.5,1.0782892328700076,,Credits - Thank You!,"This website was created for ARTHI 130D at UC Santa Barbara by Angelina Rivoli, Ava Colette, Tina Lyn, Magali Lira and Julie Manriquez.

Images of the goddess vessel courtesy of UCSB Material/Image Research Lab 2026.",,Learn more,blank_template-references.md,,,,,
